# : FIRAS 
 
# nu            Sensitivity    
 
1836.56187000   5.36395953e+04 
1850.16603200   5.61319644e+04 
1863.77019400   5.83380744e+04 
1877.37435600   6.03044903e+04 
1890.97851800   6.32178133e+04 
1904.58268000   6.72426198e+04 
1918.18684200   7.26119279e+04 
1931.79100400   8.06715228e+04 
1945.39516600   8.98419528e+04 
1958.99932800   9.81992331e+04 
1972.60349000   1.02627758e+05 
1986.20765200   1.02274642e+05 
1999.81181400   9.86521035e+04 
2013.41597600   9.53177880e+04 
2027.02013800   9.25204283e+04 
2040.62430000   9.19702553e+04 
2054.22846200   9.41441086e+04 
2067.83262400   9.39877682e+04 
2081.43678600   9.68164537e+04 
2095.04094800   9.86327687e+04 
2108.64511000   9.90824936e+04 
2122.24927200   1.00381630e+05 
2135.85343400   1.01182295e+05 
2149.45759600   1.03359736e+05 
2163.06175800   1.06839640e+05 
2176.66592000   1.11744562e+05 
2190.27008200   1.16987045e+05 
2203.87424400   1.26320851e+05 
2217.47840600   1.32267177e+05 
2231.08256800   1.37319690e+05 
2244.68673000   1.43647601e+05 
2258.29089200   1.46855778e+05 
2271.89505400   1.50166766e+05 
2285.49921600   1.55087004e+05 
2299.10337800   1.59778602e+05 
2312.70754000   1.66005513e+05 
2326.31170200   1.73494252e+05 
2339.91586400   1.83244473e+05 
2353.52002600   1.92510133e+05 
2367.12418800   2.04032768e+05 
2380.72835000   2.13416464e+05 
2394.33251200   2.17104222e+05 
2407.93667400   2.19032097e+05 
2421.54083600   2.22480636e+05 
2435.14499800   2.24575796e+05 
2448.74916000   2.29993114e+05 
2462.35332200   2.36899513e+05 
2475.95748400   2.39111503e+05 
2489.56164600   2.37803392e+05 
2503.16580800   2.39803240e+05 
2516.76997000   2.45803962e+05 
2530.37413200   2.58325546e+05 
2543.97829400   2.65737729e+05 
2557.58245600   2.70777647e+05 
2571.18661800   2.79632771e+05 
2584.79078000   2.93252659e+05 
2598.39494200   2.97576576e+05 
2611.99910400   2.95344583e+05 
2625.60326600   2.96820467e+05 
2639.20742800   3.06647873e+05 
2652.81159000   3.28937857e+05 
2666.41575200   3.45783357e+05 
2680.01991400   3.51475495e+05 
2693.62407600   3.55269825e+05 
2707.22823800   3.69787944e+05 
2720.83240000   3.79601279e+05 
2734.43656200   3.89951647e+05 
2748.04072400   4.09066063e+05 
2761.64488600   4.31715626e+05 
